"Dataset","Metodo_Prueba","Estadistico_Chi2","Grados_Libertad","P_Valor","Significativo"
"1.2.penguins","Friedman rank sum test",48.1754,6,0,"Si"
"1.3.pimadiabetes","Friedman rank sum test",49.1584,6,0,"Si"
"1.4.wines","Friedman rank sum test",94.416,6,0,"Si"
"3.1.Cebolla3D","Friedman rank sum test",142.5513,6,0,"Si"
"3.2.Cebolla10D","Friedman rank sum test",144.8571,6,0,"Si"
"3.3.Cebolla20D","Friedman rank sum test",167.2136,6,0,"Si"
"4.1.CancerWisconsin","Friedman rank sum test",61.2705,6,0,"Si"
"4.2.Ionosphere","Friedman rank sum test",86.3632,5,0,"Si"
"5.4.indicadores2015","Friedman rank sum test",169.5262,6,0,"Si"
"5.5.indicadores2020","Friedman rank sum test",169.8564,6,0,"Si"
